Date,PX_LAST,PX_VOLUME
11/28/16,22830.57,1872488837
11/29/16,22737.07,1747446636
11/30/16,22789.77,2126732037
12/1/16,22878.23,2185144942
12/2/16,22564.82,2555746563
12/5/16,22505.55,1676340019
12/6/16,22675.15,1300700774
12/7/16,22800.92,1144817151
12/8/16,22861.84,1764686045
12/9/16,22760.98,1624764598
12/12/16,22433.02,2076832916
12/13/16,22446.7,1776519228
12/14/16,22456.62,1877415774
12/15/16,22059.4,2583217439
12/16/16,22020.75,1958465769
12/19/16,21832.68,1369587974
12/20/16,21729.06,1337270189
12/21/16,21809.8,1244082148
12/22/16,21636.2,1479108833
12/23/16,21574.76,1830424880
12/28/16,21754.74,2240453456
12/29/16,21790.91,1933136204
12/30/16,22000.56,2470800499
1/3/17,22150.4,1342658127
1/4/17,22134.47,1482136259
1/5/17,22456.69,1887270359
1/6/17,22503.01,1432962595
1/9/17,22558.69,1343848256
1/10/17,22744.85,1466511205
1/11/17,22935.35,1602169326
1/12/17,22829.02,1499656668
1/13/17,22937.38,1414268322
1/16/17,22718.15,1353977023
1/17/17,22840.97,1051152568
1/18/17,23098.26,1689344506
1/19/17,23049.96,1174126308
1/20/17,22885.91,1207476090
1/23/17,22898.52,1068403796
1/24/17,22949.86,1462887090
1/25/17,23049.12,1185813177
1/26/17,23374.17,1856554519
1/27/17,23360.78,777897674
2/1/17,23318.39,1515037561
2/2/17,23184.52,987795855
2/3/17,23129.21,1339282105
2/6/17,23348.24,1439947290
2/7/17,23331.57,1523355638
2/8/17,23485.13,2601105512
2/9/17,23525.14,2741007427
2/10/17,23574.98,2143167270
2/13/17,23710.98,1990274591
2/14/17,23703.01,1957113524
2/15/17,23994.87,3843901732
2/16/17,24107.7,3806666361
2/17/17,24033.74,2302691017
2/20/17,24146.08,1936955049
2/21/17,23963.63,1839886651
2/22/17,24201.96,2230148001
2/23/17,24114.86,1880958665
2/24/17,23965.7,1750717023
2/27/17,23925.05,1727456208
2/28/17,23740.73,1666247330
3/1/17,23776.49,1648831313
3/2/17,23728.07,2111361243
3/3/17,23552.72,2387983941
3/6/17,23596.28,1442731369
3/7/17,23681.07,1282674477
3/8/17,23782.27,1823218003
3/9/17,23501.56,1781279465
3/10/17,23568.67,1534086223
3/13/17,23829.67,2016201753
3/14/17,23827.95,1857167792
3/15/17,23792.85,1352441823
3/16/17,24288.28,2576718977
3/17/17,24309.93,2512650306
3/20/17,24501.99,1716660593
3/21/17,24593.12,2055170766
3/22/17,24320.41,2136581478
3/23/17,24327.7,1795481553
3/24/17,24358.27,1784280150
3/27/17,24193.7,1730336040
3/28/17,24345.87,1506216774
3/29/17,24392.05,1834977386
3/30/17,24301.09,1768917072
3/31/17,24111.59,1733165544
4/3/17,24261.48,1708951035
4/5/17,24400.8,2697900351
4/6/17,24273.72,1722179306
4/7/17,24267.3,2253021495
4/10/17,24262.18,1193963765
4/11/17,24088.46,1803272793
4/12/17,24313.5,1534864830
4/13/17,24261.66,1334077790
4/18/17,23924.54,1552809585
4/19/17,23825.88,1568253069
4/20/17,24056.98,1559682252
4/21/17,24042.02,1387582860
4/24/17,24139.48,1379452719
4/25/17,24455.94,1938859631
4/26/17,24578.43,1720351229
